song, album, year, download link, release_date, primary_artists
It Ain&#039;t Me,It Ain&#039;t Me,2017,https://aac.saavncdn.com/423/1e5bfcace91f29b5eeddb200cd2538d2_320.mp4,2017-02-16,Kygo, Selena Gomez
There&#039;s Nothing Holdin&#039; Me Back,Illuminate (Deluxe),2017,https://aac.saavncdn.com/486/0d9352b5b7903937c73c2cc2f3dbdc7e_320.mp4,2017-04-20,Shawn Mendes
Kissing Strangers,Kissing Strangers,2017,https://aac.saavncdn.com/289/3757761932803bf4f74ac7e2ab7fdad3_320.mp4,2017-04-14,DNCE
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),2017,https://aac.saavncdn.com/780/e33234e46a0aa1ee75f00be6dfab5e36_320.mp4,2017-03-17,Clean Bandit
Solo Dance,Solo Dance,2016,https://aac.saavncdn.com/710/8bb9f3290956ccb1ea5d6aacdae7d824_320.mp4,2016-11-11,Martin Jensen
Stay,Stay,2017,https://aac.saavncdn.com/885/1772e355b786b62abe6ab7f9872be678_320.mp4,2017-02-23,Zedd, Alessia Cara
Mama,Mama,2017,https://aac.saavncdn.com/511/ad243262998790f904582b28111ac5a2_320.mp4,2017-05-05,Jonas Blue
You Can Count on Me,You Can Count on Me,2016,https://aac.saavncdn.com/819/2e37195fca93b7cdb9f1ded1ecf99727_320.mp4,2016-11-29,Krista Earle
Count on Me (EP Version),Doo-Wops &amp; Hooligans,2010,https://aac.saavncdn.com/563/d14bf0cc9b50d15936b0a12c0c61ed87_320.mp4,2010-10-05,Bruno Mars
Rockabye (feat. Sean Paul &amp; Anne-Marie),Rockabye (feat. Sean Paul &amp; Anne-Marie),2016,https://aac.saavncdn.com/728/e8ee0dc5d0d68415b60d132a2e3c4160_320.mp4,2016-10-21,Clean Bandit
On The Floor (Radio Edit),On The Floor,2011,https://aac.saavncdn.com/436/ffadc6ef1535f5efc66e5f38d92d8c98_320.mp4,2011-01-01,Jennifer Lopez
Uptown Funk,Uptown Funk,2014,https://aac.saavncdn.com/049/384d6f567a975923acccce4997b5ad68_320.mp4,2014-11-13,Mark Ronson
Believer,Evolve,2017,https://aac.saavncdn.com/843/e7a5d22338f95e7200fb16a543951dcb_320.mp4,2017-06-23,Imagine Dragons
Feels,Feels,2017,https://aac.saavncdn.com/918/8be0a5c69e9b27a9250a88e64ded891c_320.mp4,2017-06-16,Calvin Harris
Versace On The Floor (Bruno Mars vs. David Guetta),Versace On The Floor (Bruno Mars vs. David Guetta),2017,https://aac.saavncdn.com/778/9a816c1e0b34d806aa02b81ea005afb7_320.mp4,2017-06-27,Bruno Mars, David Guetta
On &amp; On,On &amp; On,2015,https://aac.saavncdn.com/140/32e76aa7cc9502bfe072e548bde079e5_320.mp4,2015-07-09,Cartoon
Complicated (feat. Kiiara),Complicated (feat. Kiiara),2017,https://aac.saavncdn.com/174/2c4f06f0a777159089017c4913dac7a3_320.mp4,2017-07-28,Dimitri Vegas &amp; Like Mike, David Guetta
New Rules,Dua Lipa,2017,https://aac.saavncdn.com/812/099424085f4b2b64ffe259ccde3cbbea_320.mp4,2017-06-02,Dua Lipa
Crossfire,Crossfire,2015,https://aac.saavncdn.com/026/4e000698e5cd749bce58f51dc50a6b9a_320.mp4,2015-12-07,Stephen
rockstar,rockstar,2017,https://aac.saavncdn.com/595/b536c7d3b040c3fe44a50b44c0e95a08_320.mp4,2017-09-15,Post Malone
Look What You Made Me Do,Look What You Made Me Do,2017,https://aac.saavncdn.com/089/c9dd5ac2768cb7bda6c6528ec37fdbbb_320.mp4,2017-08-27,Taylor Swift
Dusk Till Dawn (Radio Edit),Dusk Till Dawn (Radio Edit),2017,https://aac.saavncdn.com/896/266a5be893ff2b2e48b5b2538ebc3666_320.mp4,2017-09-07,Zayn Malik
Too Good At Goodbyes (Edit),Too Good At Goodbyes,2017,https://aac.saavncdn.com/772/7a91bdf5acc2f2548a4cddf29d119eea_320.mp4,2017-09-08,Sam Smith
Fight Song,Fight Song,2015,https://aac.saavncdn.com/360/a57b4d5d21c82a9cc5d2cd920e804128_320.mp4,2015-02-14,Rachel Platten
Shake It Off,1989 (Deluxe),2014,https://aac.saavncdn.com/893/2c08bc2dd775d2dd5882f995d77a425e_320.mp4,2014-01-01,Taylor Swift
